company,id,number_of_board_memebers,average_age_board,total_active_assignments,total_active_assignments_star,total_prev_assignments,proportion_historic_defaults
A-RENOVERING BYGGENTREPRENAD AB,5568988561,2.0,36.0,2.0,1,3.0,0.0
BOMIAL AB,5591194377,2.0,57.0,2.0,1,0.0,0.0
Celviki Aktiebolag,5560961749,3.0,66.0,3.0,2,1.0,0.0
Frank Eskilstuna AB,5591205819,3.0,54.0,10.0,9,9.0,0.0
TVM Thomas Eriksson AB,5568321623,4.0,41.0,2.0,1,4.0,0.0
INFINITY VILLA SWEDEN AB,5590792627,2.0,48.0,10.0,4,18.0,0.0
DA Montage & Byggentreprenad AB,5591727721,4.0,35.0,3.0,2,4.0,0.0
Fea design och bygg AB,5591155477,3.0,33.0,2.0,1,0.0,0.0
Littus AB,5591172498,2.0,51.0,4.0,3,5.0,0.0
PEAX Entreprenad AB,5567881973,2.0,65.0,3.0,2,3.0,0.0
Infinite Surveying Sweden AB,5591081400,3.0,55.0,2.0,1,2.0,0.0
Örtenholms Måleri AB,5566525720,2.0,53.0,2.0,1,2.0,0.0
Dahlkar bygg AB,5569548737,2.0,33.0,2.0,1,0.0,0.0
Allent mark & transport AB,5566547369,2.0,53.0,4.0,3,5.0,0.0
Team 08 Markservice AB,5568499742,2.0,28.0,2.0,1,1.0,1.0
Finess Bygg Nyproduktion AB,5591097091,3.0,49.0,20.0,19,6.0,0.0
Swanbay Invest AB,5566406533,4.0,60.0,2.0,1,4.0,0.0
Stockholm Glas & Fastighetsservice AB,5591027486,2.0,43.0,3.0,2,2.0,0.0
Creality AB,5567545917,2.0,55.0,3.0,2,3.0,0.0
Kamaliddin Rustambekov AB,5569388670,2.0,34.0,2.0,1,0.0,0.0
Borgströms Rörservice AB,5590085675,2.0,32.0,2.0,1,0.0,0.0
ALMASI BYGG AB,5590443254,2.0,36.0,2.0,1,1.0,0.0
Sterog AB,5568950009,2.0,51.0,3.0,2,0.0,0.0
GG Teknik och Service i Danderyd AB,5591076954,3.0,56.0,2.0,1,1.0,0.0
Prikker Byggservice AB,5590569223,2.0,47.0,2.0,1,7.0,0.0
Alpharail sweden (ARS) AB,5591624175,1.0,35.0,2.0,1,1.0,0.0
Retuscheriet AB,5569513343,4.0,38.0,4.0,2,4.0,0.0
Bedow Stockholm AB,5568380090,5.0,41.0,2.0,1,7.0,0.0
Värdeutveckling i Sverige AB,5590685474,2.0,62.0,6.0,5,1.0,0.0
Puts & Kakel Stockholm AB,5566156229,2.0,44.0,3.0,2,3.0,0.0
Hägerstens Elteknik AB,5591157705,3.0,39.0,2.0,1,0.0,0.0
Atrium Ljungberg Projektutveckling AB,5591983423,3.0,55.0,97.0,96,173.0,0.0
Civit Consult AB,5590175468,2.0,33.0,4.0,3,3.0,0.0
BLV Arkitekter & Konstruktörer AB,5591743173,5.0,38.0,6.0,5,9.0,0.0
Vidman VVS AB,5590727276,3.0,48.0,2.0,1,3.0,0.0
Nacka Ställningsmontage AB,5568085616,2.0,47.0,2.0,1,4.0,0.0
Frakka AB,5566116140,3.0,55.0,3.0,2,10.0,0.0
Property Partner Nordic Projektledning AB,5591234843,2.0,51.0,10.0,9,20.0,0.0
ByggTek Projektledning & Besiktningar AB,5566400742,2.0,62.0,2.0,1,4.0,0.0
Kibenax AB,5591700785,1.0,55.0,2.0,1,0.0,0.0
Supportel i Stockholm AB,5567222145,2.0,40.0,6.0,5,6.0,0.0
Noelco Nordiska Elcompaniet AB,5568767213,2.0,46.0,2.0,1,9.0,0.0
Boetten Projektutveckling Aktiebolag,5564880903,3.0,56.0,3.0,2,9.0,0.0
Metod Montage Stockholm AB,5591487359,2.0,60.0,4.0,1,6.0,0.0
Nordrock Bergsprängning AB,5565164794,2.0,46.0,3.0,2,3.0,0.0
Uniteducation AB,5590552161,3.0,54.0,3.0,2,2.0,0.0
Söderorts El & Säkerhet AB,5591710487,2.0,51.0,3.0,2,11.0,0.0
Living Cities Stockholm AB,5569104119,3.0,47.0,2.0,1,3.0,0.0
1969 Projektledning AB,5590940986,2.0,51.0,2.0,1,3.0,0.0
Byström Bygg & Fastigheter AB,5590178751,3.0,53.0,2.0,1,3.0,0.0
AMS EL VVS AB,5569919151,2.0,43.0,5.0,3,6.0,0.0
ALGEBA Byggkonsulter Aktiebolag,5563836468,2.0,37.0,2.0,1,3.0,0.0
Besiktningsteamet i Sverige AB,5591184014,3.0,42.0,2.0,1,3.0,0.0
Järna Lasyrmåleri AB,5566111927,2.0,49.0,2.0,1,2.0,0.0
Stockholm Utemiljö AB,5568441520,5.0,43.0,2.0,1,6.0,0.0
Swedenpact AB,5568641731,3.0,54.0,2.0,1,5.0,0.0
Planio AB,5591119200,4.0,45.0,3.0,2,1.0,0.0
E EL AB,5568801103,2.0,57.0,2.0,1,0.0,0.0
Byggnadsbolaget FKTS Aktiebolag,5564991908,2.0,58.0,3.0,2,14.0,0.0
Tobias S Gustafsson Bygg AB,5568690886,2.0,48.0,3.0,2,0.0,0.0
Aldrins bygg & samordning AB,5568291156,2.0,57.0,3.0,2,1.0,0.0
Drosselmeyer Designgroup AB,5567116230,2.0,57.0,3.0,2,6.0,0.0
Nordsvenska Fastighet AB,5566980560,3.0,44.0,3.0,2,0.0,0.0
BOM Entreprenad AB,5590229398,2.0,54.0,4.0,2,10.0,0.0
Henrik Ståhle Installation AB,5566895081,2.0,59.0,2.0,1,0.0,0.0
Kustbandet AB,5566258975,3.0,46.0,3.0,2,11.0,0.0
BTP Sthlm AB,5591622351,3.0,45.0,2.0,1,4.0,0.0
Consote AB,5569987646,3.0,53.0,8.0,3,3.0,0.0
JimMit AB,5590246970,2.0,41.0,5.0,4,4.0,0.25
Snickerifabriken Järna AB,5567986194,3.0,44.0,2.0,1,1.0,0.0
PT Installation AB,5569886871,2.0,39.0,2.0,1,2.0,0.0
Axel Bygg AB,5591724801,3.0,50.0,2.0,1,0.0,0.0
Star Alarm Aktiebolag,5562058585,4.0,51.0,2.0,1,1.0,0.0
El&Byggteknik Sverige AB,5568429624,2.0,48.0,2.0,1,3.0,0.0
PGBM Byggteknik & Måleri AB,5569369472,2.0,48.0,2.0,1,3.0,0.0
Swedice International AB,5566584438,2.0,59.0,3.0,2,4.0,0.0
Byggnadskonstruktion Stockholm AB,5590130968,3.0,42.0,7.0,6,3.0,0.0
By Lars Christenson AB,5590168745,2.0,58.0,3.0,2,3.0,0.0
MIWAL AB,5568618051,2.0,42.0,5.0,4,2.0,0.0
Batteri & Värmeteknik i Uppland AB,5568347115,2.0,57.0,3.0,2,3.0,0.0
S.E.W. Tele- och Elektronikservice Aktiebolag,5562071448,2.0,49.0,2.0,1,3.0,0.0
Teknikinstallatör i Södertälje AB,5562916121,2.0,76.0,4.0,3,2.0,0.0
Tomttjänst i Roslagen AB,5567525075,2.0,67.0,7.0,6,19.0,0.0
Långbro Bygg AB,5567501563,3.0,52.0,2.0,1,2.0,0.0
Wellmetron AB,5568221419,3.0,57.0,5.0,2,6.0,0.0
Pietsch Arkitekter AB,5567950661,3.0,51.0,2.0,1,2.0,0.0
Smiths Måleri i Stockholm AB,5590620125,5.0,36.0,2.0,1,0.0,0.0
Elofsson Construction Company Aktiebolag E.C.C,5562171990,2.0,66.0,4.0,3,12.0,0.0
LUNDMYR förvaltning AB,5569602294,2.0,66.0,2.0,1,0.0,0.0
April projekt AB,5569296618,3.0,59.0,3.0,2,8.0,0.0
Hansahus AB,5591454201,1.0,62.0,4.0,3,10.0,0.0
Sofos Card Solutions Aktiebolag,5564573565,2.0,60.0,2.0,1,5.0,0.0
TK Mätservice i Stockholm AB,5591871495,4.0,47.0,3.0,2,5.0,0.0
Figge' stenentreprenader AB,5569006447,3.0,37.0,4.0,2,4.0,0.0
Construction and Design i Stockholm AB,5567823892,3.0,46.0,2.0,1,0.0,0.0
Granbecks Multihantverkare AB,5590848841,3.0,55.0,2.0,1,1.0,0.0
Kruthare AB,5590346549,2.0,44.0,5.0,4,3.0,0.0
Nyberg Constructa AB,5591584932,2.0,33.0,7.0,6,3.0,0.0
SERGNES AB,5567639603,2.0,48.0,2.0,1,7.0,0.0
Spånga Lås Aktiebolag,5562293851,2.0,51.0,4.0,3,6.0,0.0
MORE Projektledning AB,5569944233,2.0,32.0,2.0,1,2.0,0.0
TQI Projekt AB,5564902160,2.0,53.0,8.0,7,13.0,0.0
Ahnborg Arkitekter AB,5590402292,2.0,40.0,3.0,2,1.0,0.0
House of Construction Sweden AB,5590581715,3.0,38.0,3.0,2,2.0,0.0
Activa Förvaltning AB,5566777933,2.0,60.0,2.0,1,9.0,0.0
Paulina Berglund Arkitekter AB,5590289590,2.0,57.0,5.0,4,6.0,0.0
Nordström & Bäckström Bygg & Fastighets-          förädling AB,5591531255,3.0,45.0,5.0,2,1.0,0.0
WL Systems AB,5590622329,3.0,51.0,5.0,4,5.0,0.0
Anoga AB,5591503759,2.0,36.0,2.0,1,0.0,0.0
Infranova AB,5591294029,2.0,35.0,12.0,6,2.0,0.0
Garden Aquatica Försäljning AB,5565485009,3.0,46.0,2.0,1,3.0,0.0
Nallens Trä AB,5565826707,2.0,54.0,2.0,1,4.0,0.0
Geodesign Latitud 57 Aktiebolag,5564262433,7.0,45.0,2.0,1,4.0,0.0
MDE Bygg AB,5568212848,2.0,47.0,6.0,2,12.0,0.5
Engeldahls Måleri AB,5569158156,2.0,44.0,2.0,1,2.0,0.0
Delaware Projekt AB,5590732060,3.0,53.0,3.0,2,4.0,0.0
JVK Byggpartner AB,5569238479,3.0,57.0,2.0,1,0.0,0.0
Vi 3 Målar Sverige AB,5591949960,2.0,38.0,6.0,4,6.0,0.25
Mikael Sandström Entreprenad AB,5590205083,2.0,31.0,3.0,2,4.0,0.0
Glada Hus AB,5590677703,3.0,44.0,2.0,1,9.0,0.0
Vallentuna Entreprenad AB,5591991467,3.0,48.0,3.0,2,1.0,0.0
The Makery AB,5569721490,2.0,44.0,2.0,1,2.0,0.0
LAGUMA Elkonsult AB,5569376360,3.0,48.0,2.0,1,0.0,0.0
Fem D Konsulterna Öst AB,5591761829,4.0,40.0,7.0,6,3.0,0.0
RED Advice AB,5568822190,3.0,56.0,3.0,2,6.0,0.0
Åberg & Larsson AB,5568047871,3.0,44.0,2.0,1,8.0,0.0
Björkhagens Mur & Puts AB,5568869316,2.0,64.0,2.0,1,0.0,0.0
Alton Öhman arkitekter AB,5590927363,4.0,41.0,2.0,1,1.0,0.0
MG Gruppen i Sverige AB,5590445408,2.0,44.0,4.0,3,2.0,0.0
AB BEWAX,5590598248,2.0,69.0,2.0,1,8.0,0.0
Nordicstation Skog & Miljö AB,5565529269,2.0,56.0,6.0,5,5.0,0.0
PRiFAB Holding i Stockholm AB,5591151807,3.0,43.0,6.0,5,11.0,0.2
R. Lagerbäck Anläggning Aktiebolag,5562148998,2.0,62.0,2.0,1,0.0,0.0
Bygg & Design vid Siljan AB,5568758402,2.0,38.0,3.0,2,5.0,0.0
Stefan & Modig Projektledning AB,5591007231,3.0,53.0,5.0,2,8.0,0.0
Knut Jönson Ingenjörsbyrå i Helenelund AB,5567525299,3.0,58.0,6.0,5,7.0,0.0
Sakproj AB,5568871270,3.0,48.0,25.0,18,58.0,0.0
NS Projekt AB,5569883951,2.0,49.0,2.0,1,0.0,0.0
Cederqvist Schakt&Transport AB,5569412439,3.0,44.0,2.0,1,3.0,0.0
Berg & Gren Arkitektkontor AB,5569175036,3.0,65.0,4.0,1,7.0,0.0
Garageplattan AB,5569422032,2.0,44.0,3.0,2,6.0,0.0
OD Maskin AB,5591227367,2.0,50.0,6.0,5,6.0,0.0
S3A Bygg & Badrum AB,5590766670,2.0,37.0,4.0,3,9.0,0.0
VL Badrum & Plattsättning AB,5591065205,2.0,54.0,2.0,1,0.0,0.0
Nom Arkitekter AB,5567859581,3.0,49.0,2.0,1,0.0,0.0
Anders Eklunds Gräv & Schakt Aktiebolag,5561936831,2.0,51.0,2.0,1,0.0,0.0
Betong & Microcement 08 AB,5590214614,2.0,43.0,2.0,1,7.0,0.0
Linervent AB,5569921298,2.0,39.0,4.0,3,8.0,0.0
SLBF Utbildning AB,5569585846,10.0,58.0,3.0,2,1.0,0.0
Wittra Sweden AB,5569320988,5.0,58.0,2.0,1,2.0,0.0
BYGGVIR KONSULT AB,5567592760,2.0,57.0,2.0,1,6.0,0.0
Prim e.Offshore Engineering AB,5569732083,2.0,50.0,3.0,2,10.0,0.0
Mark Och Hus i Idre AB,5568739444,2.0,50.0,2.0,1,2.0,0.0
Bra Elektriker i Stockholm AB,5568152630,2.0,48.0,2.0,1,2.0,0.0
Ekebyhov Business Center Aktiebolag,5568180490,2.0,41.0,20.0,19,42.0,0.0
Boax Service AB,5564753209,3.0,63.0,11.0,10,12.0,0.0
Eryk Bygg AB,5590480926,2.0,45.0,2.0,1,1.0,0.0
Sthlm riv & bemanning AB,5590118989,2.0,50.0,5.0,4,7.0,0.0
Artiobygg AB,5591091060,2.0,65.0,3.0,2,9.0,0.0
Byggledarna Stockholm AB,5591731673,3.0,52.0,3.0,2,0.0,0.0
DAFA Fastighets AB,5567929210,3.0,50.0,5.0,4,2.0,0.0
Douglas Murray AB,5591223523,2.0,34.0,2.0,1,0.0,0.0
Struktia AB,5591279210,3.0,34.0,2.0,1,1.0,0.0
GeoTop AB,5590758420,2.0,37.0,2.0,1,0.0,0.0
Glass Monkeys AB,5590883202,2.0,36.0,2.0,1,0.0,0.0
Tyresö Transport AB,5591361042,2.0,64.0,4.0,3,12.0,0.0
PKB Sweden AB,5590470208,2.0,47.0,2.0,1,7.0,0.0
Svensk Arbetsklättring AB,5568662711,2.0,59.0,3.0,2,1.0,0.0
Alltilod AB,5590881255,3.0,48.0,2.0,1,1.0,0.0
Fabrilé AB,5569701328,2.0,59.0,2.0,1,7.0,0.0
Spirare Ventilation AB,5569496713,2.0,47.0,13.0,12,11.0,0.0
Bill & Bull Bygg och Måleri AB,5590854302,2.0,51.0,4.0,3,12.0,0.0
El & byggnischen Håkan Jansson AB,5568510738,3.0,49.0,2.0,1,1.0,0.0
Woolnut AB,5590503982,3.0,34.0,3.0,2,6.0,0.0
Lingsmyre Bygg Mark & Transport LBMT AB,5567653018,2.0,46.0,2.0,1,2.0,0.0
63 El & Styrteknik AB,5591877583,2.0,33.0,5.0,3,3.0,0.0
PP-Design i Stockholm AB,5591574487,3.0,57.0,2.0,1,2.0,0.0
Menco AB,5567000053,2.0,45.0,3.0,2,6.0,0.0
Sandin & Bülow Design Aktiebolag,5562406289,2.0,69.0,4.0,3,24.0,0.0
LoftSweden AB,5591560650,4.0,52.0,2.0,1,1.0,0.0
Tiler Stockholm AB,5591651996,2.0,27.0,2.0,1,0.0,0.0
Armada Centrumfastigheter AB,5569369597,3.0,65.0,18.0,8,11.0,0.0
Mr Urban AB,5590183744,2.0,30.0,2.0,1,3.0,0.0
LynxEye Labs AB,5591629778,3.0,51.0,2.0,1,5.0,0.0
Wigells Mark & Bygg AB,5590147228,2.0,41.0,2.0,1,0.0,0.0
JONIK AB,5569062929,3.0,45.0,2.0,1,1.0,0.0
Stadsutveckling i Stockholm AB,5567288526,2.0,69.0,34.0,33,111.0,0.0
EssDe energiteknik värmdö AB,5590308705,3.0,44.0,2.0,1,7.0,0.0
Saltsjön bygg & design AB,5566773155,2.0,49.0,3.0,2,7.0,0.0
IPMG Sverige AB,5567636047,2.0,40.0,4.0,3,3.0,0.0
AVTS elteknik AB,5568299035,2.0,51.0,3.0,2,4.0,0.0
Norrtälje Elteknik AB,5590318134,2.0,34.0,2.0,1,0.0,0.0
Kembel Tak och Fasad plåtslageri AB,5590484282,3.0,47.0,2.0,1,0.0,0.0
H.A.G. arkitekter AB,5567431597,3.0,61.0,4.0,3,1.0,0.0
Dalarö El och Rör AB,5590216874,3.0,38.0,2.0,1,0.0,0.0
Selektiv Bygg och Entreprenad i Bromma AB,5591778906,2.0,35.0,2.0,1,11.0,0.0
Fåruddens Marin AB,5568627649,3.0,57.0,3.0,2,3.0,0.0
08 Rörservice AB,5590488432,3.0,40.0,2.0,1,1.0,0.0
TMET Construction AB,5590484936,4.0,53.0,4.0,3,3.0,0.0
Lennart Edlund AB,5565951653,2.0,74.0,2.0,1,5.0,0.0
PSP Ventilation AB,5569265548,2.0,40.0,3.0,2,1.0,0.0
O. Michélsen arkitekter AB,5567431639,2.0,56.0,3.0,2,3.0,0.0
Lindholmsviken AB,5567889893,2.0,43.0,19.0,18,12.0,0.0
Krusemarks Entreprenad AB,5569939159,3.0,47.0,2.0,1,2.0,0.0
Slussgården Utveckling AB,5591630651,4.0,57.0,9.0,8,9.0,0.0
Skärgårds EL AB,5569858201,2.0,37.0,4.0,2,2.0,0.0
Reearth AB,5567703847,2.0,58.0,2.0,1,6.0,0.0
Sandbergs Holding AB,5569158909,2.0,49.0,2.0,1,4.0,0.0
Ödquist El & Styr AB,5567296495,2.0,47.0,2.0,1,5.0,0.0
Geoteam Systems Sverige AB,5591510192,2.0,47.0,3.0,2,4.0,0.0
Wilke Städ AB,5591554661,2.0,50.0,2.0,1,1.0,0.0
MEX; Mark- och Exploatering Aktiebolag,5563354470,3.0,60.0,8.0,7,132.0,0.0
Matias Baresso Restaurangkonsult AB,5568135494,2.0,45.0,3.0,2,11.0,0.0
danixo AB,5566459896,2.0,68.0,5.0,4,16.0,0.0
Tunberga Fastighetsbolag AB,5567163752,2.0,47.0,28.0,27,41.0,0.0
R.O.T.H Sweden AB,5567252803,2.0,64.0,2.0,1,0.0,0.0
Ozzys Rörservice AB,5568225030,2.0,42.0,2.0,1,0.0,0.0
Svensk Anläggningsdykning AB,5569049710,2.0,37.0,2.0,1,0.0,0.0
Marina Fastighetstjänst AB,5591626667,2.0,61.0,2.0,1,4.0,0.0
De2 Gruppen AB,5590103650,2.0,39.0,6.0,5,12.0,0.0
Rikard & Susanne Entreprenad AB,5567006951,3.0,39.0,2.0,1,2.0,0.0
Hilleshög Entreprenad & Transport AB,5569819476,2.0,50.0,2.0,1,1.0,0.0
ML VVS AB,5568655533,3.0,43.0,3.0,2,1.0,0.0
Berga Installation AB,5569506180,3.0,50.0,5.0,4,4.0,0.0
Mannerfelt Design Team AB,5563637288,3.0,59.0,3.0,2,3.0,0.0
VVS Konstant i Sthlm AB,5568960677,2.0,35.0,2.0,1,3.0,0.0
Mats Blomberg Hus o Projektledning AB,5591495279,2.0,55.0,3.0,2,0.0,0.0
Storstaden Bostad Älvsjö II AB,5591555510,4.0,43.0,23.0,22,89.0,0.0
DeArk Nordic AB,5591886253,2.0,42.0,5.0,4,0.0,0.0
Sical Holding Aktiebolag,5561876979,3.0,48.0,5.0,4,7.0,0.0
Addlease AB,5562753102,2.0,62.0,3.0,2,3.0,0.0
Badhemma Sverige AB,5568130982,2.0,37.0,2.0,1,9.0,0.0
Kronans tak & fasad Plåtslageri AB,5569998510,2.0,47.0,3.0,2,11.0,0.0
Hällgren Sverige AB,5591546329,2.0,30.0,2.0,1,4.0,0.0
Westers Group TA AB,5590892500,4.0,45.0,4.0,2,4.0,0.0
PROJEXAN AB,5591380505,2.0,46.0,2.0,1,1.0,0.0
Pecar Property Development AB,5590955398,3.0,60.0,6.0,5,7.0,0.0
AYP Consulting AB,5569608325,2.0,46.0,26.0,25,40.0,0.0
ENTREDO AB,5591990006,2.0,37.0,2.0,1,1.0,0.0
Smista datakoordinering Aktiebolag,5591380406,2.0,70.0,3.0,2,2.0,0.0
CVS Bygg & Transport AB,5564125929,2.0,56.0,6.0,4,16.0,0.0
NVBS Electric AB,5590529433,4.0,42.0,7.0,6,1.0,0.0
Paloma Design Studio AB,5592119365,3.0,36.0,2.0,1,0.0,0.0
Åkersberga Kyl & Ventservice Aktiebolag,5563032886,2.0,64.0,2.0,1,2.0,0.0
ISSA Fastighetsservice AB,5568113582,2.0,41.0,4.0,3,1.0,0.0
Revolt Bygg AB,5591211692,4.0,41.0,6.0,4,8.0,0.0
O & S Tak Plåt Service AB,5569725814,2.0,44.0,2.0,1,1.0,0.0
Theory Into Practice AB,5590588983,3.0,42.0,2.0,1,6.0,0.0
Soul Woman Aktiebolag,5566764147,2.0,54.0,2.0,1,10.0,0.0
Hurtig & Widgren AB,5590072525,3.0,40.0,2.0,1,0.0,0.0
Måleriråd Lars E.G. Magnusson Aktiebolag,5562273291,4.0,56.0,2.0,1,1.0,0.0
Widings Entreprenad AB,5591687206,2.0,56.0,4.0,3,2.0,0.0
Doos Arkitekter Aktiebolag,5566748413,2.0,58.0,2.0,1,2.0,0.0
Vardag AB,5591560528,3.0,46.0,3.0,2,5.0,0.0
Projektkoordinator Firo Sweden AB,5569291338,2.0,58.0,2.0,1,0.0,0.0
K4K Consulting AB,5567494553,2.0,41.0,3.0,2,4.0,0.0
Peter Fuchs Bygg & Inredning AB,5591275143,2.0,50.0,3.0,2,4.0,0.0
Sveriges Byggkonsulter AB,5591033435,3.0,34.0,4.0,3,0.0,0.0
Eriksson Frelihs Bemanning AB,5590910476,2.0,44.0,4.0,1,4.0,0.0
Loumab AB,5591178701,2.0,44.0,2.0,1,2.0,0.0
Novatil AB,5568808868,2.0,46.0,2.0,1,6.0,0.0
SPX Byggpartner AB,5591603609,2.0,26.0,3.0,2,1.0,0.0
Golvexperten i Stockholm AB,5566833041,2.0,34.0,20.0,19,9.0,0.0
Redlin management AB,5590703087,2.0,46.0,2.0,1,2.0,0.0
Entreprenör Aktiebolaget Sätra,5561025643,2.0,63.0,2.0,1,0.0,0.0
Actava AB,5567336747,3.0,53.0,9.0,8,15.0,0.0
J D Cisternkontroll Aktiebolag,5563154870,3.0,49.0,4.0,1,6.0,0.0
PROCAMP AB,5567372387,2.0,56.0,8.0,6,16.0,0.0
addFunction i Stockholm AB,5566648373,4.0,49.0,2.0,1,3.0,0.0
CVC El och Säkerhet AB,5591492649,3.0,45.0,5.0,2,3.0,0.0
Nomad Entreprenad AB,5590840590,2.0,29.0,2.0,1,0.0,0.0
ARCONTE AB,5569142085,2.0,65.0,2.0,1,4.0,0.0
Reinhold Europe AB,5567063713,3.0,66.0,11.0,10,132.0,0.0
ByggArea i Boo AB,5590325667,2.0,43.0,2.0,1,9.0,0.0
ByggMård AB,5566210992,5.0,50.0,3.0,2,1.0,0.0
BAS Förvaltning AB,5564611282,2.0,66.0,5.0,4,17.0,0.0
NorLux Bygg AB,5568679517,2.0,49.0,3.0,2,6.0,0.0
Takfix Stockholm AB,5590247184,2.0,44.0,2.0,1,3.0,0.0
Bladys Bygg AB,5569695751,2.0,47.0,2.0,1,1.0,0.0
Teknikillustratörerna Forslund & Co AB,5566318134,2.0,53.0,3.0,2,2.0,0.0
Kjellkvists Bygg och Entreprenad AB,5591635163,2.0,47.0,2.0,1,0.0,0.0
Mariehälls Bygg & Konsult AB,5567223390,2.0,52.0,2.0,1,4.0,0.0
Wallroff AB,5566907415,2.0,59.0,2.0,1,20.0,0.0
Byggtrim AB,5568315609,2.0,37.0,9.0,8,4.0,0.0
Carat Måleri & Sanering AB,5567909378,3.0,52.0,33.0,32,31.0,0.0
Artmesh AB,5565406146,2.0,53.0,6.0,4,4.0,0.0
Soder Design AB,5567617104,2.0,62.0,2.0,1,6.0,0.0
Gahm Interior AB,5591982649,2.0,53.0,4.0,2,3.0,0.0
Skantz Måleri Aktiebolag,5563418705,2.0,29.0,3.0,2,0.0,0.0
Logeco AB,5591173991,2.0,37.0,2.0,1,3.0,0.0
GTH Villamontage AB,5591734180,3.0,60.0,6.0,2,6.0,0.0
Supportelit Sverige AB,5590703582,2.0,41.0,12.0,5,12.0,0.0
Djulstedt Consulting AB,5591536015,3.0,54.0,4.0,1,8.0,0.0
Mitheko AB,5564317344,3.0,50.0,4.0,1,0.0,0.0
R&R DesignBygg och Koncept AB,5568285646,2.0,48.0,4.0,1,0.0,0.0
Winbo Bygg & Design AB,5568380116,2.0,36.0,6.0,2,2.0,0.0
Sundin Söderling AB,5569651945,3.0,37.0,10.0,4,10.0,0.0
Voledo AB,5569537722,3.0,52.0,24.0,9,34.0,0.0
Tännäs Resort AB,5566688601,3.0,63.0,96.0,37,118.0,0.0
STHLM Värmeservice AB,5590561923,4.0,50.0,12.0,5,22.0,0.0
Create/Remain Stockholm AB,5568854920,2.0,46.0,8.0,1,10.0,0.0
WesterDO AB,5591683213,3.0,34.0,4.0,1,0.0,0.0
Skolgrossisten Sverige AB,5567553515,3.0,57.0,8.0,2,14.0,0.0
Kå-Ges Schakt & Dumper Aktiebolag,5561822908,2.0,57.0,4.0,1,0.0,0.0
J G Borrmetoder AB,5568566185,2.0,38.0,6.0,2,6.0,0.0
Qruxel AB,5567273148,2.0,33.0,4.0,1,16.0,0.0
Korto Mark & Bygg AB,5563690907,2.0,44.0,6.0,2,2.0,0.0
Backhans & Hahn Arkitekter AB,5568634199,2.0,51.0,4.0,1,4.0,0.0
Rörassistansen i Storstockholm AB,5569490534,3.0,48.0,4.0,1,0.0,0.0
Wolfgang Strategic Design AB,5565862835,2.0,44.0,8.0,3,12.0,0.0
Barca Bygg Consulting AB,5591523625,2.0,35.0,12.0,4,16.0,0.0
SWEDITAL Bygg Aktiebolag,5564824109,2.0,39.0,4.0,1,10.0,0.0
BraVent Stockholm AB,5569998023,3.0,55.0,4.0,1,4.0,0.0
Home & Mobile SoundVision Alvik AB,5566158217,3.0,49.0,6.0,2,8.0,0.0
Änkan El AB,5591797716,2.0,39.0,4.0,1,2.0,0.0
Metropolis Arkitekter AB,5591536023,4.0,44.0,4.0,1,8.0,0.0
Petter Öhman Arkitektkontor Aktiebolag,5569495939,2.0,41.0,4.0,1,2.0,0.0
Aversa Bygg AB,5591579379,3.0,43.0,4.0,1,2.0,0.0
Grundmaren-Ekvik Fastighets AB,5566649652,4.0,58.0,16.0,7,60.0,0.0
ZELDAS SCHAKT AB,5590292172,2.0,70.0,4.0,1,0.0,0.0
Laserna Restaurering AB,5591714828,2.0,47.0,4.0,1,6.0,0.0
Stockholm Urban Visits AB,5591134746,3.0,54.0,4.0,1,4.0,0.0
ROCKON AB,5568112550,3.0,63.0,4.0,1,4.0,0.0
Bryggö Engineering AB,5591596837,2.0,66.0,4.0,1,24.0,0.0
Luftväxling Stockholm AB,5591787980,2.0,39.0,4.0,1,6.0,0.0
S. Urbanson AB,5569620072,4.0,53.0,18.0,4,20.0,0.0
Klaraberg Konsult Aktiebolag,5568467004,2.0,67.0,6.0,2,8.0,0.0
MS2 Bygg och Konsult AB,5569008823,2.0,51.0,4.0,1,4.0,0.0
Miro Fixar AB,5590354717,2.0,37.0,6.0,2,62.0,0.0
Badrumsverket AB,5568210610,2.0,41.0,10.0,3,24.0,0.0
Låskomfort AB,5590928916,2.0,44.0,10.0,4,16.0,0.0
Holmans Fastighetsservice AB,5562455211,2.0,41.0,12.0,5,18.0,0.0
City isolering i Stockholm AB,5592089048,2.0,26.0,6.0,2,2.0,0.0
Byggnadsfirma Arne Holmström Aktiebolag,5567806129,2.0,59.0,4.0,1,0.0,0.0
Dahlgren Construction Management AB,5568180979,4.0,46.0,6.0,2,10.0,0.0
Johan Trygg Entreprenad AB,5569085466,2.0,62.0,4.0,1,8.0,0.0
Arteno AB,5591934087,2.0,66.0,4.0,1,14.0,0.0
Global Electrical Engineering AB,5591382014,3.0,37.0,10.0,2,0.0,0.0
Tobin Properties AB,5567334379,3.0,51.0,86.0,42,56.0,0.0
Form Nordic Stockholm AB,5591829162,2.0,34.0,4.0,1,4.0,0.0
RoSveBal Entreprenad AB,5591298111,2.0,47.0,6.0,2,0.0,0.0
Projektfokus Sverige AB,5590983663,2.0,38.0,4.0,1,14.0,0.0
ECHION AB,5591658132,1.0,55.0,8.0,3,42.0,0.0
Jövans Mark & Trädgård AB,5591686463,2.0,60.0,6.0,2,8.0,0.0
Skanska Sverige AB,5560339086,10.0,55.0,912.0,244,532.0,0.0
